"duration","age","gender","race","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","post_emotion_good","post_emotion_happy","post_emotion_tired","post_emotion_tense","panas_1","panas_2","panas_3","panas_4","panas_5","panas_6","panas_7","panas_8","panas_9","panas_10","ft_rep_sup","ft_dem_sup","ft_rep","ft_dem","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_neonazi","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","partisanship","condition"
232,31,1,6,5,5,5,1,7,6,7,6,7,10,6,2,4,5,1,4,4,7,7,6,7,6,5,7,5,5,88,98,99,92,99,85,96,95,91,7,7,7,6,7,7,7,5,4,7,7,2,2,4,4,4,5,4,4,4,"Democrat","HappyP"
346,28,1,6,7,5,5,3,6,5,3,6,6,0,7,2,5,6,2,5,2,3,3,3,3,4,1,4,4,5,0,74,0,64,100,0,100,77,0,1,1,1,1,2,4,2,2,1,1,7,7,6,1,1,1,1,1,1,1,"Democrat","HappyW"
398,32,0,6,6,7,7,4,7,4,4,6,4,7,4,2,7,6,6,6,4,5,5,6,6,4,6,6,5,4,70,19,66,69,26,37,74,67,58,4,3,3,4,6,7,3,5,5,4,4,3,3,4,3,5,4,3,4,1,"Republican","HappyQ"
388,28,1,6,6,6,6,6,6,2,3,2,5,8,3,2,6,6,6,6,3,5,6,4,3,6,2,6,6,5,60,60,54,25,60,60,60,60,3,3,4,3,5,7,6,6,5,6,4,3,6,2,1,1,1,1,1,2,1,"Republican","Control"
509,68,0,6,5,1,1,5,1,7,6,7,7,3,7,2,1,1,5,1,3,4,4,3,3,4,4,4,3,4,20,90,7,90,91,18,90,75,0,2,2,2,2,3,3,3,2,1,2,7,6,6,1,1,1,1,1,1,1,"Democrat","HappyP"
597,64,0,6,7,7,6,7,6,6,6,6,5,8,4,2,7,6,7,7,6,6,6,5,6,6,5,5,6,6,74,35,76,19,10,77,42,40,5,4,4,4,4,5,5,5,4,3,4,5,5,4,2,1,1,1,2,1,1,"Republican","HappyP"
590,70,0,6,6,7,7,7,7,6,6,6,5,5,6,2,7,7,7,7,5,5,5,5,5,5,5,5,5,5,11,87,10,86,87,13,75,88,0,2,2,4,3,3,3,3,4,1,2,6,5,3,2,1,1,1,1,1,1,"Democrat","HappyW"
390,45,1,6,5,5,5,4,5,2,1,2,3,7,7,2,5,5,4,5,3,4,4,3,3,4,3,4,4,3,79,20,81,0,0,62,40,0,0,4,4,6,5,7,7,7,5,5,5,2,3,1,2,3,2,5,4,2,1,"Democrat","HappyQ"
382,72,1,6,6,7,7,6,7,5,4,4,4,5,6,2,7,7,6,7,6,5,5,5,5,5,4,5,5,5,82,17,84,11,40,76,60,65,0,4,4,4,4,4,5,5,4,4,4,5,4,4,3,2,3,2,4,2,3,"Republican","Control"
452,55,1,6,7,5,4,5,5,6,6,6,5,8,5,2,6,5,5,5,5,5,5,4,4,5,5,4,5,4,70,40,50,30,30,70,50,50,0,4,4,4,4,5,5,5,4,4,4,4,4,4,4,3,2,3,3,2,1,"Republican","HappyP"
470,67,1,6,4,6,5,6,5,6,6,6,5,7,4,5,4,5,5,7,3,5,5,4,4,5,4,6,5,3,26,90,25,89,55,24,58,59,9,4,5,5,4,4,4,4,4,3,4,3,4,3,1,1,2,1,2,1,2,"Democrat","HappyQ"
520,81,0,6,7,6,5,2,6,6,5,6,7,10,7,2,5,5,2,5,6,7,6,5,5,5,7,6,5,5,81,0,77,0,0,89,14,23,0,3,2,4,4,4,3,2,3,1,3,6,6,5,4,4,3,3,4,2,2,"Republican","HappyW"
523,76,0,6,6,6,5,5,6,4,3,6,5,3,6,2,6,5,5,5,4,5,5,4,4,6,4,4,4,6,29,85,6,85,62,31,85,75,0,5,5,5,5,4,4,4,4,3,5,5,5,5,3,1,1,1,2,1,1,"Democrat","Control"
525,73,0,6,7,7,7,7,7,6,1,6,1,5,7,2,7,7,7,7,6,7,7,6,6,7,6,7,7,7,70,90,85,90,90,60,90,90,0,4,5,5,4,4,7,7,6,5,5,4,3,3,2,1,1,1,1,1,1,"Republican","HappyP"
541,70,0,6,6,7,5,7,7,2,5,5,4,1,7,2,7,6,7,7,4,6,4,1,4,7,7,6,4,6,33,100,0,90,100,15,51,83,0,3,3,3,3,2,4,3,4,2,4,7,6,5,1,1,1,1,1,1,2,"Democrat","HappyQ"
612,79,0,6,6,7,7,7,7,7,7,7,6,4,6,2,7,7,7,7,5,5,6,4,4,6,5,5,4,5,15,87,0,100,77,50,51,67,0,2,4,3,4,1,4,4,3,3,5,3,3,3,4,2,1,1,2,1,1,"Democrat","Control"
713,72,0,6,6,6,6,1,1,7,5,7,4,9,6,2,6,1,1,1,6,6,6,6,4,6,6,6,6,6,90,0,100,0,0,90,40,20,0,1,1,1,2,6,6,6,4,1,1,7,6,7,2,4,1,4,3,1,1,"Republican","HappyQ"
718,71,0,6,6,6,6,5,5,5,6,5,4,7,4,2,6,6,6,6,4,5,3,3,4,6,4,6,3,5,61,43,61,36,24,80,46,19,18,4,2,3,3,4,2,2,3,2,3,4,4,5,3,2,2,4,4,2,2,"Republican","HappyW"
180,36,1,6,5,4,4,4,4,4,4,4,4,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,82,8,74,9,17,74,21,58,13,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,"Republican","Control"
