"duration","age","gender","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","sam","ft_inparty_supporter","ft_outparty_supporter","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","ideology_cat"
278,48,0,8,7,7,7,7,7,7,7,7,10,7,1,9,100,100,100,100,100,100,100,100,100,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,3,"ControlP","right"
260,45,0,9,5,3,4,5,3,4,3,4,6,4,2,5,51,13,51,0,51,51,51,31,51,4,3,4,4,4,4,4,4,3,6,1,2,2,3,3,3,3,2,4,3,"HappyQ","right"
383,38,1,5,7,7,5,7,6,6,6,1,8,5,2,9,84,1,80,1,28,66,55,60,62,5,5,6,6,7,7,7,4,2,4,6,2,5,5,4,4,1,1,1,1,"HappyP","right"
459,40,1,7,2,2,2,2,7,7,7,1,0,4,2,5,100,0,100,0,100,0,100,56,0,7,7,7,7,1,1,1,4,1,4,4,7,7,1,1,1,1,1,1,1,"ControlQ","left"
236,43,1,9,6,5,3,6,4,4,4,4,7,4,3,8,77,40,50,30,52,46,51,28,33,4,3,7,2,6,1,6,4,4,5,1,4,6,4,5,2,1,3,1,2,"HappyP","right"
393,55,1,3,5,4,1,4,4,4,4,4,7,4,3,5,41,65,79,77,63,65,64,66,67,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,"HappyQ","right"
559,29,0,8,7,6,6,7,7,7,7,7,8,7,2,7,74,78,80,76,82,80,73,83,75,6,7,7,7,6,7,6,6,7,7,6,6,7,4,5,5,4,5,5,1,"HappyW","right"
595,75,1,4,4,4,3,4,6,6,6,4,2,4,2,7,94,19,89,14,88,32,42,84,45,2,2,1,1,6,6,6,6,6,7,3,3,2,4,1,4,5,4,3,4,"ControlP","left"
391,45,1,6,6,3,3,3,3,3,4,3,6,3,2,3,57,12,51,16,40,51,51,51,51,4,4,4,4,4,4,4,5,4,4,5,5,5,5,1,3,2,3,1,2,"ControlW","right"
386,53,0,5,5,6,4,6,6,6,6,6,8,5,2,5,73,1,89,3,21,72,24,14,69,2,4,1,3,3,3,3,4,1,2,6,7,5,4,4,2,4,3,1,1,"HappyP","right"
464,48,0,8,4,3,1,7,2,2,1,1,4,7,2,5,51,45,51,26,51,51,51,51,51,6,6,6,6,6,6,6,4,4,6,2,2,2,1,1,1,1,1,1,1,"ControlW","left"
712,69,1,5,7,6,6,6,5,2,1,4,6,4,2,8,81,21,81,13,42,59,11,80,46,5,5,4,5,4,4,4,4,4,4,4,4,4,4,1,3,1,3,1,1,"ControlQ","right"
440,51,1,7,7,6,5,7,5,1,5,1,8,5,2,8,81,13,83,1,40,75,81,85,50,4,5,5,5,4,6,4,4,3,4,5,3,3,1,1,1,4,1,1,1,"ControlP","right"
449,36,1,7,6,4,6,6,5,3,4,3,3,5,2,9,83,8,84,0,77,51,79,51,70,5,5,4,5,7,5,7,5,2,5,5,3,2,1,1,2,1,1,3,1,"HappyW","left"
628,64,1,4,6,5,6,7,4,4,4,4,7,5,2,8,63,2,77,2,50,49,50,50,51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,"HappyQ","right"
711,76,1,4,7,7,7,7,5,6,6,4,10,6,2,9,100,0,100,0,21,80,94,22,1,4,4,5,3,4,4,4,5,5,3,4,4,3,1,1,3,2,1,1,1,"ControlW","right"
555,51,1,8,6,5,3,6,5,4,4,5,2,2,2,7,72,0,75,0,70,0,61,41,40,4,4,5,5,3,3,2,4,3,4,5,4,4,1,1,2,1,2,1,1,"ControlP","left"
388,19,0,8,6,5,6,6,5,5,6,2,7,6,2,7,72,11,75,0,59,78,52,32,71,3,3,4,4,6,6,6,5,5,5,6,6,3,5,1,1,4,2,1,1,"ControlQ","right"
697,44,1,4,6,6,6,6,5,5,4,3,6,4,2,9,71,11,82,11,51,70,51,53,71,4,4,4,4,7,7,7,4,4,4,4,4,4,4,4,4,4,4,2,1,"HappyQ","right"
