"duration","ResponseId","age","gender","race","edu","attention_check","pids_1","pids_2","pids_3","pids_4","ideology","interest","ft_rep_sup","ft_dem_sup","ft_rep","ft_dem","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_neonazi","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","partisanship","condition"
307,"R_2arHSLuXfkbxq9I",42,0,3,7,2,3,5,3,3,4,5,43,61,31,42,32,65,32,51,11,3,2,3,3,3,4,3,5,3,1,5,6,3,4,2,4,1,4,4,1,"Democrat","ANXW"
678,"R_1mIZ1ISBTlSv2Ew",71,0,6,3,2,2,2,2,2,5,1,39,38,19,25,52,38,17,27,4,3,2,3,2,6,6,6,6,5,6,3,3,3,1,2,1,2,1,1,1,"Democrat","ControlW"
1317,"R_2DUMC7EZT60lpo6",55,0,6,5,2,7,7,7,7,10,4,100,0,100,0,0,100,50,0,0,3,4,5,4,1,3,3,3,1,3,7,7,6,3,5,1,5,2,1,1,"Republican","HappyW"
1299,"R_pb1m3OcAQIVR4Vr",74,1,6,4,2,4,4,4,4,5,4,54,64,40,56,54,73,59,49,36,4,4,4,4,4,4,4,4,5,5,4,4,4,3,3,3,3,3,3,3,"Democrat","HappyW"
753,"R_3LXyROcUIjcMAVC",53,1,6,3,2,4,3,5,4,5,6,55,63,54,62,58,55,92,61,0,5,5,7,5,7,7,7,6,5,5,4,1,5,4,1,2,3,3,1,1,"Democrat","ANGW"
244,"R_2Ww0LHBjs9bCw5g",52,0,6,6,2,6,6,6,4,8,4,51,51,51,51,51,51,51,52,51,1,1,1,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,1,"Republican","ANGW"
593,"R_9FUIqrRsnUpUZ3z",74,1,6,7,2,7,7,7,4,1,7,6,94,6,98,91,3,82,91,0,2,2,2,4,4,1,4,4,1,4,5,5,4,1,1,1,1,1,1,1,"Democrat","ANXW"
453,"R_UQPfldS4pHr0aDT",65,1,6,3,2,6,6,6,4,4,6,7,79,8,69,70,47,75,78,10,5,5,5,5,5,5,5,5,4,5,4,4,4,1,1,1,1,1,1,1,"Democrat","ControlW"
297,"R_3PXpaOmtpSHQtlt",34,1,6,6,2,7,7,7,4,10,6,95,6,99,2,6,95,9,5,8,1,1,1,1,4,4,4,1,1,1,1,7,7,1,5,1,5,3,1,1,"Republican","ANXW"
381,"R_2YXrrhPMahsBLc2",58,1,6,6,2,7,7,7,4,1,4,51,96,51,97,98,51,100,100,0,5,5,5,5,7,7,7,6,5,5,4,4,4,1,1,1,1,1,1,1,"Democrat","HappyW"
152,"R_3PyIFxSzVRGAL6V",36,0,6,5,2,4,4,4,4,5,1,48,51,47,71,51,51,51,48,49,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,"Democrat","HappyW"
520,"R_1DUA7pQKzcuCvTP",68,0,6,5,2,4,4,5,4,5,4,52,51,51,30,50,51,42,51,26,5,5,5,5,6,6,6,5,5,5,4,3,3,3,2,1,2,2,1,1,"Republican","ANXW"
569,"R_2ydbq1s71xRvLka",53,0,6,6,2,6,6,4,2,5,5,40,51,60,60,51,60,60,56,0,5,5,5,5,6,6,6,6,5,6,5,2,2,4,1,1,1,1,1,1,"Republican","HappyW"
994,"R_3hbvF47x8Q9LRWq",63,1,6,5,2,4,4,6,5,7,4,65,21,64,0,40,77,49,40,0,4,4,5,4,6,7,6,4,4,4,4,4,4,3,3,3,2,2,3,1,"Republican","ControlW"
415,"R_2yf0l59GgnxSJha",64,1,6,6,2,7,5,7,6,0,7,0,100,0,100,100,0,100,100,0,5,5,4,4,6,6,4,3,2,5,6,3,4,3,1,1,1,1,1,1,"Democrat","ANXW"
411,"R_308FQxEOfPZjcp2",41,0,6,7,2,5,6,6,7,3,7,10,82,22,94,91,41,87,94,0,4,4,4,4,4,4,4,4,1,4,7,5,5,5,1,1,5,1,2,1,"Democrat","ControlW"
833,"R_5jZeYMv4c4RM7F7",81,0,6,5,2,6,5,6,4,8,4,80,12,82,21,21,79,61,20,21,5,5,4,4,6,5,6,5,2,6,6,3,3,2,2,2,4,1,1,1,"Republican","ANGW"
380,"R_u3xqUZCK69IxSed",70,1,6,3,2,1,2,2,3,5,4,63,39,66,33,42,58,27,51,0,4,4,4,5,4,4,3,3,4,3,3,4,4,3,4,2,2,4,2,2,"Democrat","ANXW"
841,"R_esUKykg28f7ITOV",51,1,6,5,2,7,6,7,2,3,5,41,98,36,86,84,71,78,81,1,1,2,3,1,6,6,6,4,2,3,3,6,3,1,1,2,1,1,1,1,"Democrat","HappyW"
346,"R_1P7vGGeEwonbE9b",40,1,4,7,2,7,7,6,6,10,7,95,95,92,96,97,92,93,94,98,7,7,6,7,6,6,7,7,7,7,7,7,7,5,5,5,5,5,5,1,"Democrat","HappyW"
334,"R_1k17wNXIcUM82hI",61,1,6,5,2,1,4,4,1,0,1,51,52,51,53,51,51,51,52,42,5,5,5,5,6,6,6,5,5,5,4,1,1,1,1,1,1,1,1,1,"Democrat","ANGW"
354,"R_10DccIy7TfroisS",62,0,6,4,2,7,7,7,7,10,7,100,0,100,0,0,100,0,0,0,4,3,3,4,4,5,5,3,1,3,7,5,5,5,2,1,4,3,1,1,"Republican","ControlW"
1309,"R_217fxyhcfnB0t0Y",67,1,6,6,2,4,3,6,4,9,7,79,52,73,19,41,79,52,50,0,4,4,4,4,7,7,5,4,3,4,5,4,4,3,3,4,4,4,3,1,"Republican","ANGW"
473,"R_2zbUkJRi9LCkPLL",68,1,6,6,2,7,7,7,7,2,7,0,100,0,95,77,23,75,79,0,2,1,2,1,3,3,3,2,1,2,1,2,2,1,1,1,1,3,1,2,"Democrat","ControlW"
1099,"R_RDopXzHAIzIsUgx",37,1,5,5,2,5,4,5,5,1,6,19,89,4,81,81,35,82,98,0,3,3,2,2,3,4,3,4,2,3,6,6,4,1,1,1,1,4,1,1,"Democrat","ANXW"
