ResponseId,Happy ,Angry,Anxious
R_2arHSLuXfkbxq9I,0,0,0
R_1mIZ1ISBTlSv2Ew,0,0,0
R_2DUMC7EZT60lpo6,1,0,1
R_pb1m3OcAQIVR4Vr,1,0,0
R_3LXyROcUIjcMAVC,0,1,0
R_9FUIqrRsnUpUZ3z,0,0,2
R_UQPfldS4pHr0aDT,0,0,0
R_3PXpaOmtpSHQtlt,0,0,1
R_2YXrrhPMahsBLc2,2,0,0
R_1DUA7pQKzcuCvTP,0,0,0
R_2ydbq1s71xRvLka,2,0,0
R_3hbvF47x8Q9LRWq,1,0,0
R_2yf0l59GgnxSJha,0,0,2
R_308FQxEOfPZjcp2,0,0,0
R_5jZeYMv4c4RM7F7,0,0,0
R_u3xqUZCK69IxSed,0,0,0
R_esUKykg28f7ITOV,1,0,0
R_1P7vGGeEwonbE9b,0,0,0
R_1k17wNXIcUM82hI,0,1,1
R_10DccIy7TfroisS,0,0,0
R_217fxyhcfnB0t0Y,0,2,0
R_2zbUkJRi9LCkPLL,0,0,0
R_RDopXzHAIzIsUgx,0,0,2
R_1Kl5mAOIyboJjg8,2,0,0
R_2aQbyn7hADlrODP,0,1,0
R_1jeO93WLOvQHWMT,0,0,0
R_1qamruI4OJ0f1jk,0,0,1
R_3EPYxh4wPqW2o5x,0,0,0
R_3P82syP3Te75tY3,0,0,0
R_2VOLzPDIo5OOXg3,0,0,0
R_10wJ55EQhQkvqRu,1,0,0
R_79uKUbH7DELi7Qd,0,1,1
R_3qPRc5pFQPte8t8,1,0,0
R_1kFfUfHMt7mKNF7,0,1,0
R_1n3K5N9oPisLFdJ,0,0,0
R_1lftfpXpRgiOo6D,0,0,0
R_2OUUB08QtdzVFMV,0,0,0
R_UWQtZjjkmK7zjwZ,0,0,1
R_1GJQxl1XDP0Vdcw,2,0,0
R_2X53iLae6EezEHa,1,0,0
R_xmD5C0A7WEy9QA1,0,0,0
R_BXlcsBUgyqS3Ugp,0,0,1
R_3D2xkYoIpM3LRUg,0,0,0
R_12D1cMW0LjfjwIO,0,0,2
R_eXw2GOwGS4D9QXv,0,0,0
R_2PCiNLLHhDkrncH,0,1,2
R_1rIHfe3WgX96i97,1,0,0
R_2fquVcwsVjSuRbH,0,2,0
R_3e9S4KRBVGvbqJD,0,1,0
R_2cBjgiFcJ7rPwIv,0,0,0
R_3Hv0U6xZ4rTrPYD,0,0,1
R_1dlWVRI1Cvsb3Rz,0,1,0
R_3LhTpsJBxDleWAl,0,0,1
R_2qt0z1C8PELMdnI,2,0,0
R_33jzmSsnwehaUYh,0,0,0
R_1irqLW7XNwnEMY3,0,0,0
R_3Nzm9lFZgYpLHXR,0,0,0
R_6zAC5ojsG9UT24V,0,0,0
R_25tE1SGqHhUU9pB,0,0,0
R_s6CsJaUPomKdBU5,0,2,0
R_3MAPy648mfJYJUJ,0,1,1
R_vSmPABYWM5NctVf,0,1,0
R_27ys5bwT5Z9BHjH,0,0,0
R_XEUFzl19jD0a413,0,0,2
R_poQY2U4mPhXTDhf,0,0,2
R_1Fs4t72CN1j7lP1,1,0,0
R_abf4xNUliE9xgaJ,0,1,0
R_xEPSjn3FF2eEI6t,0,1,0
R_eXlqG8zPVQUEwyB,0,0,0
R_2t4lh0UTXw0dLHA,0,1,2
R_vJ5SWXB9zdGYkUx,0,0,0
R_2czvWNwZ5kQhhe6,0,0,0
R_2dKjUOEJQGrlx4s,0,0,0
R_3lQF6ccnjBBRHDD,0,1,0
R_3D7maE4SBHLvwKh,0,0,0
R_C4F8OMelkVEWDrH,0,0,0
R_2uL4ZCt2jJeSpdL,1,0,0
R_2uqzXy24MTpDv6l,0,0,0
R_5cKOgpAkOuSoLu1,0,0,0
R_1q85rPtAGulbcQ5,1,0,0
R_3fpnyXd3FpKGGMd,0,0,0
R_2PtXKLe7pYM1xka,0,0,0
R_eSgObJZfSOt1Hd7,0,2,0
R_1C7NZ7LVshDGcSZ,2,1,0
R_1ClQRQAePLZQW9B,0,0,0
R_2WAMUlBWGIwQYbM,0,0,0
R_ROjukYxmDYnkfp7,2,0,0
R_1igmNZTgdKYD8Dk,0,0,0
R_2PnGd0Y7m0VsNaF,1,0,0
R_wTBTJvfwcffItdn,0,2,1
R_2PuKliFspwUjRRL,0,0,0
R_11iiQboQKE5ZR1V,0,0,1
R_xaxKyph1GsytjCF,1,0,0
R_1Q57HqkZ2eLZkfq,1,0,0
R_1GBIEOm4oscO2cn,0,2,0
R_1di5ESkgcmJhZN2,0,1,0
R_2uWH2hjYEdrJ5Ts,0,1,2
R_1oAcm0GbRnT82Cg,1,0,0
R_3M4EtuDHgGmKfxz,0,2,0
R_1Fh7oDB2i77CCrN,0,0,0
R_2EFyWlJejkP2SUF,1,0,0
R_23TxG3LJUFuktG3,0,0,2
R_4Izaa8F38Tpc95T,0,2,0
R_pASvntKZZChcRwt,0,0,0
R_3paJFN9n7K0Njy5,0,0,0
R_3MxnYELykJgkbIa,0,0,0
R_3KSYlNaDUWOXFbY,0,0,0
R_vrgD74a9YUjAWwF,0,0,0
R_26hWUENB7tHkKis,0,0,0
R_TbcWmaouoFTBDvr,0,1,0
R_1GCFQP5nmgl8iwa,1,0,0
R_1GHdUvfPe8DHf4o,0,0,0
R_1NCVf7TuH7zH0sm,0,0,0
R_10AdUDE1zB2tWkU,0,2,0
R_3nvdWQLrfey1Nta,1,0,0
R_2fJWoBFvUHtmA28,0,0,0
R_2zZu1O6EnrSIRt1,0,0,0
R_2V9JpZASA7jj5IO,0,0,0
R_2doLrbxCliB7waT,0,0,0
R_2ziuNbfVkgK6kNn,0,0,0
R_2VeZvDZysSFqRpM,0,0,2
R_BEpdPgJMbl6PIbv,1,0,0
R_9NS85Z2xDpDYOJ3,0,0,0
R_Z7WAx0ycLWyLTyx,0,0,0
R_24INkVT6sSYpZiL,0,0,0
R_2CplWqDVDyIHNTf,0,0,0
R_12Exry3ewYTtL9f,0,0,0
R_3NyOin0piYAjjJ2,0,0,0
R_p4zFu7IMCIvcBC9,0,0,0
R_3qQclVSYof5xITY,0,0,0
R_3Dom0CgF7ohGgqX,0,0,0
R_1lcJEH36f12l1VM,0,2,0
R_2AGYdqFW6IhrnNQ,0,2,0
R_CmNJkFunRoywYeJ,0,0,2
R_2RVtR17hEPLsqUr,0,0,0
R_3rMKbTfLpCHTZ6B,0,0,2
R_ba11IqQXeUSGVTr,1,0,0
R_2zecnNJ8kKaygvs,1,0,0
R_2zDeA7ndCBIaQ6L,0,0,0
R_27CKde2yoYc6SNP,0,0,0
R_Urw8CEUdWd3ihl7,0,2,0
R_27xQ37DqMZEifHs,0,0,0
R_00VjbqBhDXFjy01,0,0,0
R_22JG28CZz5VCOSS,0,0,2
R_1ClJPzQPsv8rruy,1,0,0
R_3HZc2hVeXo7JzPy,0,0,2
R_3kb44BG0dXRRJmL,0,1,0
R_stZFhJMoszrmtCp,0,0,2
R_xtPFsiXxrARW2pb,0,0,0
R_3gXv295pbbnDUsV,1,0,0
R_AFqMP7MS4ajqwIp,0,0,0
R_1pWoMCPILzr8qs9,0,1,0
R_1F8r6Ge7KMsZ0of,1,0,0
R_232KRUvY1p9zKzT,0,2,0
R_3hEC2eHBSLPIWXF,0,0,0
R_3iOrV46z5hGvthD,0,0,2
R_2uyx7pDchebSam5,0,0,0
R_2aKVJ67UBo5nP76,0,1,0
R_u3TcUgToGyZXyDL,1,0,0
R_214F28XiyqCIdi0,0,0,0
R_3JaekEOL6uUSO7c,0,0,0
R_3mlP1OFd11unB6N,1,0,0
R_1OVtjtuRFWX83Dn,0,1,0
R_1rB7Lg1NgHzXkCC,0,1,0
R_1FeuqYGOdFkjLMv,0,0,2
R_3rMmwoobbhAD48z,0,1,0
R_zeTEZosvEedkIbn,0,0,0
R_3ptYY2d3xCMsyrO,0,1,0
R_3qrL5BGGbSUEe9p,0,0,0
R_3sEndlguWJy4P2V,0,0,1
R_27vw1GXZUaRpWm5,0,0,1
R_3FRJB7mLZQJEUFx,0,0,0
R_3iJf9NPNKgzYVzp,0,0,0
R_2wzeBatzOTuwM9b,0,0,1
R_bpYzZlvuRAI9Me5,0,0,0
R_10MCy5E6fN9gqeG,0,0,0
R_podJaPAZGJKt0Jz,0,0,0
R_2Y4JZoDdUIDxDuZ,0,1,0
R_CdlVsIqgCVRBU89,0,0,1
R_3NHUgxl4nzEQZuK,2,0,0
R_2tuy4qhqCW3qdDr,0,0,0
R_3KPma96413DqxkB,0,1,0
R_vVaDEIBMvU692mJ,0,0,0
R_3iwZ1zE2HPgsLim,0,0,0
R_Y9X5u9nx6uy620F,0,0,0
R_4T1Mf8T20DgLkGZ,2,0,0
R_2ttL4qte4hP637p,0,1,0
R_3IWZGYMqBYXKkVJ,0,0,1
