"duration","age","town_size","gender","edu","attitude_government","ideology","interest","attention_check","ft_inparty_supporter","ft_outparty_supporter","ft_govern_sup","ft_govern_opp","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","ft_neonazi","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","pids_1","pids_2","pids_3","pids_4","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3R","trait_4R","trait_5R","trait_6","Happy","Angry","Anxious"
635,74,3,2,6,"supporter",8,5,1,99,0,0,100,100,0,6,100,8,40,86,0,3,3,3,3,3,3,1,"ControlW",6,6,6,6,1,1,2,1,2,2,2,4,5,4,4,3,4,0,0,0
377,37,4,2,6,"opponent",4,3,4,86,0,0,100,83,0,76,77,7,100,0,0,2,2,1,2,3,1,4,"HappyW",6,6,4,4,3,4,4,3,4,7,2,4,4,6,4,4,3,2,0,0
343,32,3,2,3,"opponent",9,6,2,73,14,14,92,50,0,13,87,5,56,11,4,5,1,1,1,3,1,2,"ControlW",5,5,5,7,2,3,2,2,4,4,4,1,1,7,7,4,1,0,0,0
340,39,4,2,3,"opponent",0,4,1,87,2,0,83,92,4,84,18,51,78,5,0,4,4,4,4,3,2,3,"ControlW",6,7,7,6,1,1,2,3,4,3,4,2,2,6,2,2,2,0,0,0
329,44,5,2,6,"opponent",2,5,4,94,1,1,98,94,1,78,49,67,71,1,1,5,1,1,1,1,1,1,"ANGW",5,6,5,6,3,1,3,1,5,5,5,4,2,5,6,3,4,0,0,0
307,33,5,2,6,"supporter",4,4,5,92,2,82,1,94,1,51,55,47,55,58,3,4,5,2,4,4,2,2,"ANXW",5,4,5,5,2,2,2,2,5,5,5,2,2,6,6,6,2,0,0,2
357,40,5,2,6,"supporter",8,5,1,96,0,81,0,94,0,4,93,1,0,50,1,3,4,3,3,4,3,5,"ANXW",4,4,4,4,2,2,2,2,7,7,7,4,4,6,6,6,2,0,0,0
316,33,4,1,6,"opponent",5,3,2,51,20,20,51,51,5,20,51,30,15,15,0,3,3,1,1,1,2,1,"ControlW",1,4,7,5,4,3,4,4,4,1,4,4,4,4,4,4,4,0,0,0
445,41,3,1,6,"opponent",4,4,4,50,15,15,50,60,0,50,50,50,50,0,0,1,1,1,1,1,1,1,"HappyW",4,4,4,5,4,3,4,2,4,3,4,2,3,1,2,1,4,1,0,0
635,63,1,2,6,"opponent",4,6,4,60,0,5,65,94,1,56,22,95,98,8,3,4,1,1,1,4,1,2,"ControlW",7,7,4,1,5,5,5,2,7,7,7,1,4,7,4,6,3,0,0,0
